tag,case,parameter,median,err_low_percival,err_high_percival,ml,ncall,logz,logzerr
LCp100,xi_r60_350,sigmas,10.978954065875218,5.474424418786977,7.7453868342892935,9.646241361173315,36083,-11.649885579852478,0.42868059790909513
LCp100,xi_r60_350,sn0,0.00014235565118330776,0.0007760675705674612,0.0007811596485531143,9.887580798562112e-08,36083,-11.649885579852478,0.42868059790909513
LCp100,xi_r80_350,fnl_loc,104.10974337262341,89.17569825114444,136.5472440591288,86.73275798914665,39602,-10.879780819630918,0.4707962550417867
LCp100,xi_r80_350,b1,2.510810299786889,0.51067693667018,0.5285743688025837,2.788811414730363,39602,-10.879780819630918,0.4707962550417867
LCp100,xi_r80_350,sigmas,10.95049807955797,6.473283361265452,7.906293268768878,10.639880622412328,39602,-10.879780819630918,0.4707962550417867
LCp100,xi_r80_350,sn0,8.526172057325598e-05,0.0008683832488220344,0.000816661122249818,-8.599734563352612e-07,39602,-10.879780819630918,0.4707962550417867
LCp100,xi_r100_350,fnl_loc,88.10067759652259,82.598287704812,126.80687514658597,90.47548603715506,52951,-10.070174793929374,0.15237501689694502
LCp100,xi_r100_350,b1,2.6081306570960567,0.5359939149246903,0.5566513483348042,2.749074959887166,52951,-10.070174793929374,0.15237501689694502
LCp100,xi_r100_350,sigmas,12.717469762084784,8.828043249931543,11.306532161362787,9.974355505193888,52951,-10.070174793929374,0.15237501689694502
LCp100,xi_r100_350,sn0,8.881975765771468e-05,0.0010395147746996313,0.0009839908100289171,7.520095832580509e-05,52951,-10.070174793929374,0.15237501689694502
